season,round,race,date,driver,constructor,position,points,status
2023,8,Canadian Grand Prix,2023-06-18,Carlos Sainz,Ferrari,5,10.0,Finished
2023,8,Canadian Grand Prix,2023-06-18,Alexander Albon,Williams,7,6.0,Finished
2023,8,Canadian Grand Prix,2023-06-18,Logan Sargeant,Williams,20,0.0,Engine
2023,9,Austrian Grand Prix,2023-07-02,Carlos Sainz,Ferrari,6,8.0,Finished
2023,9,Austrian Grand Prix,2023-07-02,Alexander Albon,Williams,11,0.0,Finished
2023,9,Austrian Grand Prix,2023-07-02,Logan Sargeant,Williams,13,0.0,+1 Lap
2023,10,British Grand Prix,2023-07-09,Alexander Albon,Williams,8,4.0,Finished
2023,10,British Grand Prix,2023-07-09,Carlos Sainz,Ferrari,10,1.0,Finished
2023,10,British Grand Prix,2023-07-09,Logan Sargeant,Williams,11,0.0,Finished
2023,11,Hungarian Grand Prix,2023-07-23,Carlos Sainz,Ferrari,8,4.0,Finished
2023,11,Hungarian Grand Prix,2023-07-23,Alexander Albon,Williams,11,0.0,+1 Lap
2023,11,Hungarian Grand Prix,2023-07-23,Logan Sargeant,Williams,18,0.0,Retired
2023,12,Belgian Grand Prix,2023-07-30,Alexander Albon,Williams,14,0.0,Finished
2023,12,Belgian Grand Prix,2023-07-30,Logan Sargeant,Williams,17,0.0,Finished
2023,12,Belgian Grand Prix,2023-07-30,Carlos Sainz,Ferrari,19,0.0,Collision damage
2023,13,Dutch Grand Prix,2023-08-27,Carlos Sainz,Ferrari,5,10.0,Finished
2023,13,Dutch Grand Prix,2023-08-27,Alexander Albon,Williams,8,4.0,Finished
2023,13,Dutch Grand Prix,2023-08-27,Logan Sargeant,Williams,20,0.0,Accident
2023,14,Italian Grand Prix,2023-09-03,Carlos Sainz,Ferrari,3,15.0,Finished
2023,14,Italian Grand Prix,2023-09-03,Alexander Albon,Williams,7,6.0,Finished
2023,14,Italian Grand Prix,2023-09-03,Logan Sargeant,Williams,13,0.0,Finished
2023,15,Singapore Grand Prix,2023-09-17,Carlos Sainz,Ferrari,1,25.0,Finished
2023,15,Singapore Grand Prix,2023-09-17,Alexander Albon,Williams,11,0.0,Finished
2023,15,Singapore Grand Prix,2023-09-17,Logan Sargeant,Williams,14,0.0,Finished
2023,16,Japanese Grand Prix,2023-09-24,Carlos Sainz,Ferrari,6,8.0,Finished
2023,16,Japanese Grand Prix,2023-09-24,Alexander Albon,Williams,16,0.0,Collision damage
2023,16,Japanese Grand Prix,2023-09-24,Logan Sargeant,Williams,17,0.0,Collision damage
2023,17,Qatar Grand Prix,2023-10-08,Alexander Albon,Williams,13,0.0,Finished
2023,17,Qatar Grand Prix,2023-10-08,Logan Sargeant,Williams,18,0.0,Illness
2023,17,Qatar Grand Prix,2023-10-08,Carlos Sainz,Ferrari,20,0.0,Fuel leak
2023,18,United States Grand Prix,2023-10-22,Carlos Sainz,Ferrari,3,15.0,Finished
2023,18,United States Grand Prix,2023-10-22,Alexander Albon,Williams,9,2.0,Finished
2023,18,United States Grand Prix,2023-10-22,Logan Sargeant,Williams,10,1.0,Finished
2023,19,Mexico City Grand Prix,2023-10-29,Carlos Sainz,Ferrari,4,12.0,Finished
2023,19,Mexico City Grand Prix,2023-10-29,Alexander Albon,Williams,9,2.0,Finished
2023,19,Mexico City Grand Prix,2023-10-29,Logan Sargeant,Williams,16,0.0,Retired
2023,20,São Paulo Grand Prix,2023-11-05,Carlos Sainz,Ferrari,6,8.0,Finished
2023,20,São Paulo Grand Prix,2023-11-05,Logan Sargeant,Williams,11,0.0,+1 Lap
2023,20,São Paulo Grand Prix,2023-11-05,Alexander Albon,Williams,19,0.0,Collision
2023,21,Las Vegas Grand Prix,2023-11-19,Carlos Sainz,Ferrari,6,8.0,Finished
2023,21,Las Vegas Grand Prix,2023-11-19,Alexander Albon,Williams,12,0.0,Finished
2023,21,Las Vegas Grand Prix,2023-11-19,Logan Sargeant,Williams,16,0.0,Finished
2023,22,Abu Dhabi Grand Prix,2023-11-26,Alexander Albon,Williams,14,0.0,Finished
2023,22,Abu Dhabi Grand Prix,2023-11-26,Logan Sargeant,Williams,16,0.0,Finished
2023,22,Abu Dhabi Grand Prix,2023-11-26,Carlos Sainz,Ferrari,18,0.0,Retired
